date,project,pod,regression_tests_automated,regression_tests_refactored,regression_tests_executed,regression_tests_passed,regression_tests_failed,shakedown_tests_automated,shakedown_tests_refactored,shakedown_tests_executed,shakedown_tests_passed,shakedown_tests_failed,defects_reported
01-01-2021,Discovery,2,910,711,532,400,132,90,29,6,1,5,0
01-01-2021,PrimeSeven,1,614,474,477,397,80,84,58,58,2,56,1
01-01-2021,Mustangs,1,705,373,110,5,105,59,4,56,42,14,0
01-01-2021,Mustangs,1,536,243,419,137,282,98,76,41,0,41,0
01-01-2021,Aurora,2,773,130,663,45,618,93,41,19,6,13,0
01-01-2021,GrayPanthers,3,114,65,30,7,23,91,30,68,67,1,0
01-01-2021,Honeycomb,1,270,15,212,137,75,97,69,69,54,15,4
01-01-2021,PrimeSeven,2,608,49,561,119,442,73,27,35,19,16,2
01-01-2021,Honeycomb,1,991,791,537,423,114,100,65,34,2,32,0
01-01-2022,Honeycomb,1,906,215,13,6,7,83,26,48,7,41,2
01-01-2022,CelestialInterface,3,965,705,652,146,506,95,79,17,4,13,0
01-01-2022,PrimeSeven,2,606,322,594,222,372,100,56,58,44,14,3
01-01-2022,Quicksilver,1,922,311,738,636,102,62,20,19,13,6,0
01-01-2022,PrimeSeven,1,517,181,30,19,11,67,52,25,5,20,1
01-01-2022,Discovery,1,186,96,96,95,1,81,49,77,52,25,0
01-01-2022,Mustangs,1,600,79,229,25,204,50,43,49,19,30,0
01-01-2022,Aurora,1,328,119,212,199,13,78,23,54,2,52,4
01-01-2022,Discovery,2,207,196,54,33,21,54,12,7,1,6,0
01-01-2023,ImpactTraining,2,308,101,72,20,52,74,10,41,35,6,2
01-01-2023,Quicksilver,3,573,464,94,49,45,62,45,53,15,38,1
01-01-2023,Honeycomb,1,475,331,280,174,106,85,1,31,7,24,1
01-01-2023,Honeycomb,2,584,583,132,125,7,50,27,39,32,7,2
01-01-2023,BitterLaser,2,814,301,527,29,498,80,12,2,1,1,0
01-01-2023,ImpactTraining,2,905,417,668,593,75,100,36,25,14,11,2
01-01-2023,Aurora,1,655,145,212,168,44,97,90,44,39,5,2
01-01-2023,Discovery,2,769,55,436,47,389,60,24,0,0,0,0
01-01-2023,Aurora,2,169,145,112,79,33,63,37,44,2,42,5
01-01-2023,Discovery,2,383,157,282,82,200,78,28,15,13,2,0
01-01-2023,CelestialInterface,1,804,11,306,13,293,94,43,55,29,26,3
01-01-2023,Aurora,2,192,70,117,97,20,53,26,18,7,11,0
01-01-2023,PrimeSeven,2,272,200,242,61,181,89,80,24,19,5,2
01-02-2021,Mustangs,2,181,173,158,33,125,50,39,38,14,24,4
01-02-2021,Quicksilver,3,651,394,600,541,59,75,15,64,59,5,8
01-02-2021,Honeycomb,1,859,661,368,257,111,96,92,73,4,69,3
01-02-2021,Discovery,2,220,29,159,64,95,100,2,17,14,3,1
01-02-2021,GrayPanthers,2,641,119,54,34,20,59,23,56,39,17,5
01-02-2021,Quicksilver,2,592,503,444,22,422,73,10,20,12,8,1
01-02-2021,BitterLaser,2,238,163,160,103,57,59,34,13,9,4,0
01-02-2021,GrayPanthers,3,319,68,79,63,16,90,51,37,35,2,0
01-02-2021,PrimeSeven,2,897,658,367,62,305,55,27,11,5,6,0
01-02-2022,Discovery,2,679,100,347,302,45,72,54,26,24,2,0
01-02-2022,BitterLaser,1,106,39,81,17,64,97,73,28,4,24,0
01-02-2022,CelestialInterface,1,984,238,382,373,9,60,20,9,4,5,0
01-02-2022,PrimeSeven,2,352,323,109,91,18,80,38,48,8,40,6
01-02-2022,ImpactTraining,2,226,206,7,6,1,68,49,27,3,24,2
01-02-2022,Mustangs,2,335,274,67,64,3,50,21,25,14,11,0
01-02-2022,Discovery,3,772,668,602,446,156,95,46,4,3,1,0
01-02-2023,BitterLaser,2,453,257,336,12,324,84,48,47,36,11,0
01-02-2023,Mustangs,2,634,311,376,70,306,67,52,45,5,40,2
01-02-2023,BitterLaser,2,970,151,440,346,94,60,52,6,1,5,0
01-02-2023,CelestialInterface,1,381,221,379,298,81,77,21,44,14,30,4
01-02-2023,Mustangs,3,449,433,350,349,1,85,83,3,2,1,0
01-02-2023,GrayPanthers,3,959,61,709,419,290,62,38,58,5,53,6
01-02-2023,Discovery,3,647,164,120,20,100,53,19,17,0,17,0
01-02-2023,Discovery,3,710,567,81,31,50,65,37,25,8,17,2
01-02-2023,BitterLaser,3,446,400,356,254,102,67,32,26,7,19,1
01-02-2023,Honeycomb,3,492,29,84,14,70,50,24,29,16,13,3
01-03-2021,Aurora,3,741,616,254,1,253,57,6,24,23,1,0
01-03-2021,GrayPanthers,3,310,135,108,106,2,67,15,62,5,57,8
01-03-2021,BitterLaser,3,600,311,330,299,31,91,53,85,23,62,9
01-03-2021,BitterLaser,1,805,258,49,43,6,51,0,39,0,39,3
01-03-2021,BitterLaser,2,134,27,129,122,7,66,28,62,13,49,2
01-03-2021,Mustangs,3,428,417,225,195,30,98,13,55,52,3,0
01-03-2021,Honeycomb,1,456,147,119,41,78,81,54,9,2,7,0
01-03-2021,BitterLaser,2,114,86,69,36,33,78,63,60,54,6,6
01-03-2021,Honeycomb,1,476,463,88,83,5,55,16,14,11,3,1
